Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,
2021,9,19,,,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,1,,,900,1345,
2021,12,4,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,45,9,169,20,2970,
2022,1,15,5824,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114,Submarine volcano,6,,20,135.368,284,
2022,6,22,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,1,,,,,
2022,10,9,5865,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2022,12,4,5868,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2022,12,4,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,,,,,,
2023,1,31,5906,,Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.37,833,Stratovolcano,,,,,,
2023,7,7,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-6.137,155.196,1855,Lava cone,,,,,,
2023,12,3,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,23,0,12,,,
2023,12,18,,,Reykjanes,Iceland-SW,Iceland,63.817,-22.717,140,Crater rows,1,,,,3,
2024,4,16,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37,725,Stratovolcano,,,,15.5,3200,
2024,4,20,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,1,,,,,
2024,5,11,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,67,20,33,,521,
2024,6,3,,,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,,,,2.5,,
